User_ID,Age,Gender,Profession,Daily_Usage_Hours,Purpose,Sessions_Per_Day,Avg_Response_Rating,Productivity_Level
U1,25,Male,Engineer,4,Coding,4,5,Medium
U2,24,Other,Student,4,Learning,4,3,Medium
U3,31,Male,Student,2,Research,2,4,Low
U4,35,Male,Teacher,5,Writing,6,3,Medium
U5,31,Female,Student,1,Research,1,4,Low
U6,40,Other,Engineer,3,Research,5,3,Medium
U7,42,Male,Engineer,7,Writing,9,3,Medium
U8,22,Male,Teacher,4,Learning,4,3,Medium
U9,42,Female,Researcher,6,Coding,7,4,High
U10,31,Other,Engineer,3,Coding,5,5,Medium
U11,33,Male,Researcher,7,Writing,9,5,High
U12,32,Other,Engineer,3,Coding,3,4,Medium
U13,43,Female,Student,2,Writing,2,5,Low
U14,49,Female,Researcher,5,Writing,5,3,Medium
U15,34,Other,Researcher,7,Writing,7,3,Medium
U16,50,Female,Student,1,Learning,1,5,Low
U17,28,Other,Researcher,4,Research,5,5,Medium
U18,47,Other,Engineer,7,Learning,9,5,High
U19,25,Other,Engineer,5,Learning,6,4,High
U20,28,Female,Student,3,Coding,5,3,Medium
U21,37,Other,Teacher,3,Writing,3,5,Medium
U22,18,Other,Engineer,6,Learning,6,4,High
U23,37,Male,Student,2,Learning,2,5,Low
U24,49,Male,Teacher,3,Research,5,3,Medium
U25,34,Other,Researcher,5,Coding,7,4,High
U26,43,Other,Engineer,6,Research,6,3,Medium
U27,32,Male,Engineer,3,Coding,5,3,Medium
U28,18,Male,Student,2,Learning,2,4,Low
U29,22,Other,Teacher,4,Research,4,5,Medium
U30,26,Other,Researcher,5,Research,6,3,Medium
U31,24,Male,Researcher,6,Research,7,4,High
U32,21,Other,Student,1,Research,3,4,Low
U33,24,Male,Teacher,3,Research,3,4,Medium
U34,29,Female,Researcher,5,Learning,6,5,High
U35,24,Male,Student,1,Coding,1,4,Low
U36,49,Female,Teacher,5,Learning,5,4,High
U37,18,Female,Engineer,6,Writing,7,5,High
U38,49,Male,Teacher,4,Coding,4,5,Medium
U39,21,Other,Engineer,3,Learning,5,4,Medium
U40,50,Other,Teacher,2,Learning,2,3,Low
U41,22,Other,Teacher,5,Learning,7,3,Medium
U42,20,Other,Student,4,Writing,5,3,Medium
U43,38,Male,Engineer,6,Coding,8,5,High
U44,37,Female,Engineer,3,Learning,4,5,Medium
U45,24,Male,Teacher,4,Coding,5,3,Medium
U46,33,Female,Engineer,4,Research,6,5,Medium
U47,37,Other,Student,3,Learning,3,4,Medium
U48,25,Male,Teacher,4,Writing,6,3,Medium
U49,39,Male,Engineer,7,Research,8,3,Medium
U50,23,Other,Researcher,6,Learning,6,4,High
U51,26,Other,Engineer,4,Research,6,5,Medium
U52,45,Other,Student,1,Learning,3,3,Low
U53,20,Female,Teacher,5,Coding,5,4,High
U54,41,Male,Engineer,4,Coding,6,3,Medium
U55,40,Other,Researcher,5,Coding,5,3,Medium
U56,44,Male,Teacher,4,Research,6,5,Medium
U57,33,Female,Teacher,2,Research,2,4,Low
U58,32,Male,Researcher,6,Writing,6,3,Medium
U59,19,Other,Teacher,5,Writing,6,3,Medium
U60,35,Female,Researcher,6,Learning,6,4,High
U61,29,Other,Engineer,3,Learning,5,4,Medium
U62,40,Other,Engineer,6,Learning,7,5,High
U63,30,Female,Student,4,Learning,6,5,Medium
U64,30,Female,Researcher,4,Writing,6,4,Medium
U65,25,Other,Engineer,7,Writing,9,4,High
U66,38,Female,Engineer,7,Coding,7,4,High
U67,42,Other,Teacher,4,Research,6,3,Medium
U68,37,Female,Teacher,5,Writing,6,4,High
U69,46,Other,Teacher,5,Coding,7,3,Medium
U70,36,Other,Engineer,3,Coding,5,4,Medium
U71,32,Male,Teacher,2,Learning,2,4,Low
U72,22,Female,Researcher,5,Research,6,4,High
U73,33,Male,Student,1,Research,1,3,Low
U74,47,Male,Teacher,2,Research,2,4,Low
U75,38,Female,Researcher,7,Coding,9,4,High
U76,46,Female,Teacher,4,Research,6,3,Medium
U77,35,Female,Student,3,Coding,4,4,Medium
U78,38,Other,Student,2,Coding,2,4,Low
U79,27,Other,Teacher,2,Research,3,4,Low
U80,47,Female,Student,2,Research,3,5,Low
U81,19,Other,Researcher,7,Learning,8,4,High
U82,42,Female,Teacher,5,Coding,6,4,High
U83,49,Male,Researcher,6,Research,8,3,Medium
U84,47,Male,Student,4,Learning,4,5,Medium
U85,45,Male,Researcher,5,Learning,6,4,High
U86,38,Male,Researcher,6,Writing,7,4,High
U87,44,Female,Student,4,Learning,6,5,Medium
U88,21,Female,Teacher,2,Learning,2,3,Low
U89,30,Male,Teacher,3,Coding,4,5,Medium
U90,25,Other,Teacher,5,Writing,6,3,Medium
U91,25,Male,Engineer,3,Learning,4,5,Medium
U92,42,Female,Teacher,2,Coding,2,5,Low
U93,37,Other,Student,1,Writing,3,4,Low
U94,41,Male,Engineer,3,Research,4,3,Medium
U95,45,Female,Researcher,5,Research,5,5,High
U96,35,Other,Researcher,7,Research,9,5,High
U97,35,Female,Teacher,2,Writing,3,3,Low
U98,47,Other,Researcher,6,Learning,7,4,High
U99,29,Female,Teacher,4,Writing,5,4,Medium
